Practitioner ID,Virtual Flag (0 = In -person; 1 = Virtual),Service Date,Number of Distinct Patient Visits,
9738,0,09Jan2020 0:00:00,6,
9738,0,10Jan2020 0:00:00,25,
9738,0,11Jan2020 0:00:00,22,
9738,0,12Jan2020 0:00:00,20,
9738,0,13Jan2020 0:00:00,10,
9738,0,14Jan2020 0:00:00,7,
9738,0,15Jan2020 0:00:00,12,
9738,0,16Jan2020 0:00:00,9,
9738,0,17Jan2020 0:00:00,24,
9738,0,18Jan2020 0:00:00,24,
9738,0,19Jan2020 0:00:00,25,
9738,0,20Jan2020 0:00:00,7,
9738,0,21Jan2020 0:00:00,9,
9738,0,22Jan2020 0:00:00,21,
9738,0,23Jan2020 0:00:00,10,
9738,0,24Jan2020 0:00:00,29,
9738,0,25Jan2020 0:00:00,20,
9738,0,26Jan2020 0:00:00,20,
9738,0,27Jan2020 0:00:00,7,
9738,0,28Jan2020 0:00:00,9,
9738,0,29Jan2020 0:00:00,7,
9738,0,30Jan2020 0:00:00,11,
9738,0,31Jan2020 0:00:00,14,
9738,0,01Feb2020 0:00:00,1,
9738,0,02Feb2020 0:00:00,5,
9738,0,03Feb2020 0:00:00,10,
9738,0,04Feb2020 0:00:00,4,
9738,0,05Feb2020 0:00:00,12,
9738,0,06Feb2020 0:00:00,11,
9738,0,07Feb2020 0:00:00,11,
9738,0,08Feb2020 0:00:00,5,
9738,0,09Feb2020 0:00:00,8,
9738,0,10Feb2020 0:00:00,8,
9738,0,11Feb2020 0:00:00,11,
9738,0,12Feb2020 0:00:00,9,
9738,0,13Feb2020 0:00:00,9,
9738,0,14Feb2020 0:00:00,9,
9738,0,15Feb2020 0:00:00,6,
9738,0,16Feb2020 0:00:00,6,
9738,0,17Feb2020 0:00:00,7,
9738,0,18Feb2020 0:00:00,15,
9738,0,19Feb2020 0:00:00,4,
9738,0,20Feb2020 0:00:00,8,
9738,0,21Feb2020 0:00:00,13,
9738,0,22Feb2020 0:00:00,4,
9738,0,23Feb2020 0:00:00,5,
9738,0,24Feb2020 0:00:00,10,
9738,0,25Feb2020 0:00:00,14,
9738,0,26Feb2020 0:00:00,2,
9738,0,27Feb2020 0:00:00,9,
9738,0,28Feb2020 0:00:00,4,
